district,tmax_95th,sm_5th
AgarMalwa,43.6,0.59
Alirajpur,42.561,0.57
Anuppur,41.741,0.39
Ashoknagar,43.690999999999995,0.57
Balaghat,42.42,0.53
Barwani,42.870999999999995,0.59
Betul,41.63,0.57
Bhind,45.07,0.33
Bhopal,42.83,0.58
Burhanpur,43.321,0.59
Chhatarpur,44.59,0.52
Chhindwara,41.81,0.58
Damoh,43.881,0.57
Datia,45.010999999999996,0.34
Dewas,43.650999999999996,0.59
Dhar,42.690999999999995,0.59
Dindori,41.05,0.48
EastNimar,43.75,0.59
Guna,43.01,0.57
Gwalior,44.550999999999995,0.34
Harda,43.75,0.59
Hoshangabad,42.78,0.5
Indore,42.841,0.59
Jabalpur,43.351,0.59
Jhabua,42.52,0.56
Katni,43.09,0.59
Mandla,42.11199999999999,0.58
Mandsaur,42.721,0.58
Morena,45.021,0.33
Narsimhapur,43.8,0.59
Neemuch,42.230999999999995,0.47
Panna,43.781,0.46
Raisen,44.15,0.59
Rajgarh,43.641,0.59
Ratlam,42.301999999999985,0.59
Rewa,44.760999999999996,0.45
Sagar,43.43,0.58
Satna,43.79,0.46
Sehore,43.28,0.59
Seoni,42.221,0.59
Shahdol,42.91,0.59
Shajapur,43.08,0.59
Sheopur,44.5,0.36
Shivpuri,43.550999999999995,0.59
Sidhi,43.071,0.47
Singrauli,42.87,0.38
Tikamgarh,44.191999999999986,0.46
Ujjain,42.5,0.59
Umaria,43.09,0.59
Vidisha,43.21,0.55
WestNimar,43.471,0.59
