district_name,lat,lon
AgarMalwa,23.83396439378838,76.07025835339876
Alirajpur,22.315695481849403,74.36767818510955
Anuppur,23.148385797900062,81.8721160341928
Ashoknagar,24.61416079469193,77.86945698845344
Balaghat,21.88125291447146,80.35390498147132
Barwani,21.78965606004653,75.02328156292234
Betul,21.879738638747114,77.8669940413034
Bhind,26.426448049461076,78.71489702392626
Bhopal,23.48196388471286,77.39179156500134
Burhanpur,21.37434535902797,76.36907049039107
Chhatarpur,24.802215562206996,79.65755590596
Chhindwara,22.123465597709508,78.85003227515828
Damoh,23.816225898499177,79.52050846618559
Datia,25.84525652111774,78.606819867651
Dewas,22.748457701374868,76.4542410697049
Dhar,22.500170269012607,75.10524334219102
Dindori,22.835188858076208,81.04562203409469
EastNimar,21.93877780701335,76.570019203871
Guna,24.55932171311586,77.19596581558784
Gwalior,26.045077685339766,78.13878208526036
Harda,22.237183600824995,77.11800293906815
Hoshangabad,22.591322841101903,77.98437505033132
Indore,22.71627825307723,75.7814664483765
Jabalpur,23.17427702328895,79.94496941741131
Jhabua,22.893396665163966,74.67399895155258
Katni,23.70368307938968,80.33473229441805
Mandla,22.66598406557048,80.44729824919733
Mandsaur,24.214997412037757,75.40407253571858
Morena,26.419204978652072,77.86095471567505
Narsimhapur,22.937404197749085,79.08127288487447
Neemuch,24.60925802345022,75.14323260695524
Panna,24.42511426696413,80.18540062586221
Raisen,23.220639430884507,78.11335173256808
Rajgarh,23.86532732710658,76.73114427462968
Ratlam,23.50416974187749,75.09013766139317
Rewa,24.75818755032312,81.58152477503621
Sagar,23.851945150391426,78.75278462893772
Satna,24.536053856152694,80.82546802873087
Sehore,22.99475105126157,77.12503316354622
Seoni,22.317383172541497,79.68391879746808
Shahdol,23.46327139979178,81.43299444525344
Shajapur,23.386300231581398,76.55814829510396
Sheopur,25.75809656824684,77.00479219312786
Shivpuri,25.367882647737115,77.80610464518831
Sidhi,24.222022867490768,81.82734446895948
Singrauli,24.21838964593848,82.41282573689976
Tikamgarh,24.99302007550243,78.93946852607367
Ujjain,23.33517366746136,75.66741828662332
Umaria,23.606466016272915,80.91355769701993
Vidisha,23.89694076125093,77.80819281915726
WestNimar,21.923161967838897,75.77440133195844
